[DEBUG] | 2025-02-17 13:32:04,454 | lib.qt_auth |   4252 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 13:32:06,827 | __main__ |   6626 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 13:32:14,014 | __main__ |  13812 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 13:32:14,254 | lib.user_auth |  14052 | MainThread : Login successful
[DEBUG] | 2025-02-17 13:32:14,254 | lib.qt_auth |  14052 | MainThread : Admin Login successful
[DEBUG] | 2025-02-17 14:41:57,353 | __main__ |   4718 | MainThread : Admin login
[DEBUG] | 2025-02-17 14:41:57,353 | __main__ |   4718 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:41:57,594 | lib.user_auth |   4959 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:41:57,594 | lib.qt_auth |   4959 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 14:41:59,853 | __main__ |   7218 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 14:42:04,295 | __main__ |  11660 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 14:42:04,533 | lib.user_auth |  11898 | MainThread : Login successful
[DEBUG] | 2025-02-17 14:42:04,533 | lib.qt_auth |  11898 | MainThread : Admin Login successful
[DEBUG] | 2025-02-17 14:42:35,393 | __main__ |   1568 | MainThread : Admin login
[DEBUG] | 2025-02-17 14:42:35,393 | __main__ |   1568 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:42:35,633 | lib.user_auth |   1808 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:42:35,633 | lib.qt_auth |   1808 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 14:42:37,033 | __main__ |   3208 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 14:42:46,129 | __main__ |  12304 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 14:42:46,363 | lib.user_auth |  12538 | MainThread : Login successful
[DEBUG] | 2025-02-17 14:42:46,363 | lib.qt_auth |  12538 | MainThread : Admin Login successful
[DEBUG] | 2025-02-17 14:43:39,943 | __main__ |   1930 | MainThread : Username inserted
[DEBUG] | 2025-02-17 14:43:46,347 | __main__ |   8334 | MainThread : Admin login
[DEBUG] | 2025-02-17 14:43:46,347 | __main__ |   8334 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:43:46,584 | lib.user_auth |   8572 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:43:46,584 | lib.qt_auth |   8572 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 14:43:47,896 | __main__ |   9883 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 14:43:52,083 | __main__ |  14070 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 14:43:52,324 | lib.user_auth |  14311 | MainThread : Login successful
[DEBUG] | 2025-02-17 14:43:52,324 | lib.qt_auth |  14311 | MainThread : Admin Login successful
[DEBUG] | 2025-02-17 14:44:37,873 | __main__ |   2530 | MainThread : Admin login
[DEBUG] | 2025-02-17 14:44:37,873 | __main__ |   2530 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:44:38,114 | lib.user_auth |   2771 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:44:38,114 | lib.qt_auth |   2771 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 14:44:39,649 | __main__ |   4305 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 14:44:44,416 | __main__ |   9073 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 14:44:44,662 | lib.user_auth |   9319 | MainThread : Login successful
[DEBUG] | 2025-02-17 14:44:44,667 | lib.qt_auth |   9324 | MainThread : Admin Login successful
[DEBUG] | 2025-02-17 14:48:22,376 | __main__ |   2703 | MainThread : Admin login
[DEBUG] | 2025-02-17 14:48:22,377 | __main__ |   2704 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:48:22,612 | lib.user_auth |   2939 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:48:22,612 | lib.qt_auth |   2939 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 14:48:24,033 | __main__ |   4359 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 14:48:29,342 | __main__ |   9669 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 14:48:29,588 | lib.user_auth |   9914 | MainThread : Login successful
[DEBUG] | 2025-02-17 14:48:29,591 | lib.qt_auth |   9917 | MainThread : Admin Login successful
[DEBUG] | 2025-02-17 14:50:32,692 | __main__ |   2084 | MainThread : Username inserted
[DEBUG] | 2025-02-17 14:50:36,245 | __main__ |   5637 | MainThread : Admin login
[DEBUG] | 2025-02-17 14:50:36,246 | __main__ |   5638 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:50:36,484 | lib.user_auth |   5875 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:50:36,484 | lib.qt_auth |   5875 | MainThread : User Log in unsuccessful
